database_name	Lipid Maps																																																																																																																			
database_version	6/12/2016																																																																																																																			
58.041865	C3H6O	LM:LMFA12000057																																																																																																																		
60.02113	C2H4O2	LM:LMFA01010002																																																																																																																		
60.057515	C3H8O	LM:LMFA05000101																																																																																																																		
70.041865	C4H6O	LM:LMFA12000018																																																																																																																		
72.02113	C3H4O2	LM:LMFA01030193																																																																																																																		
72.057515	C4H8O	LM:LMFA12000043																																																																																																																		
72.0939	C5H12	LM:LMFA11000583																																																																																																																		
74.03678	C3H6O2	LM:LMFA01010003																																																																																																																		
74.073165	C4H10O	LM:LMFA05000100	LM:LMFA05000109																																																																																																																	
84.057515	C5H8O	LM:LMFA12000028	LM:LMFA12000034	LM:LMFA12000069																																																																																																																
84.0939	C6H12	LM:LMFA11000035																																																																																																																		
86.036779	C4H6O2	LM:LMFA01030925																																																																																																																		
86.03678	C4H6O2	LM:LMFA01030004	LM:LMFA01030194	LM:LMFA01030195	LM:LMFA07040004	LM:LMFA12000012																																																																																																														
86.073165	C5H10O	LM:LMFA05000103	LM:LMFA05000105	LM:LMFA05000106	LM:LMFA05000107	LM:LMFA05000110	LM:LMFA06000251	LM:LMFA12000001	LM:LMFA12000003	LM:LMFA12000024																																																																																																										
86.10955	C6H14	LM:LMFA11000007																																																																																																																		
87.068414	C4H9NO	LM:LMFA08010018																																																																																																																		
88.016045	C3H4O3	LM:LMFA01060077																																																																																																																		
88.05243	C4H8O2	LM:LMFA01010004	LM:LMFA01020071	LM:LMFA07010410	LM:LMFA12000020	LM:LMFA12000064																																																																																																														
88.088815	C5H12O	LM:LMFA05000102	LM:LMFA05000104	LM:LMFA05000108	LM:LMFA05000112																																																																																																															
93.982158	C2H3ClO2	LM:LMFA01090068																																																																																																																		
96.057515	C6H8O	LM:LMFA06000006	LM:LMFA06000007																																																																																																																	
98.036779	C5H6O2	LM:LMFA01031018																																																																																																																		
98.03678	C5H6O2	LM:LMFA01030099																																																																																																																		
98.073165	C6H10O	LM:LMFA06000002	LM:LMFA06000003	LM:LMFA06000004	LM:LMFA06000005	LM:LMFA06000110	LM:LMFA12000019	LM:LMFA12000030	LM:LMFA12000035																																																																																																											
98.10955	C7H14	LM:LMFA11000319	LM:LMFA11000660	LM:LMFA11000663	LM:LMFA11000668																																																																																																															
100.05243	C5H8O2	LM:LMFA01020029	LM:LMFA01020030	LM:LMFA01020097	LM:LMFA01020110	LM:LMFA01020111	LM:LMFA01030005	LM:LMFA01030006	LM:LMFA01030007	LM:LMFA01031004	LM:LMFA01031005	LM:LMFA07010505	LM:LMFA07040008	LM:LMFA12000075																																																																																																						
100.088815	C6H12O	LM:LMFA05000059	LM:LMFA05000060	LM:LMFA05000113	LM:LMFA05000115	LM:LMFA05000116	LM:LMFA05000464	LM:LMFA05000538	LM:LMFA05000561	LM:LMFA06000109	LM:LMFA12000027	LM:LMFA12000033	LM:LMFA12000048	LM:LMFA12000049																																																																																																						
100.1252	C7H16	LM:LMFA11000575	LM:LMFA11000702																																																																																																																	
101.047678	C4H7NO2	LM:LMFA08010016																																																																																																																		
101.084064	C5H11NO	LM:LMFA08010002																																																																																																																		
102.031694	C4H6O3	LM:LMFA01030978																																																																																																																		
102.031695	C4H6O3	LM:LMFA01050398	LM:LMFA01060002	LM:LMFA01060003	LM:LMFA01060190	LM:LMFA01060193	LM:LMFA06000118																																																																																																													
102.042928	C3H6N2O2	LM:LMPK14000007																																																																																																																		
102.06808	C5H10O2	LM:LMFA01010005	LM:LMFA01020072	LM:LMFA01020073	LM:LMFA01020181	LM:LMFA07010411	LM:LMFA07010528	LM:LMFA12000015	LM:LMFA12000022	LM:LMFA12000066																																																																																																										
102.104465	C6H14O	LM:LMFA05000111	LM:LMFA05000117	LM:LMFA05000463	LM:LMFA05000467	LM:LMFA05000537	LM:LMFA05000541																																																																																																													
