database_name	Lipid Maps NO isomers NO coputationally generated																																																																										
database_version	6/12/2016																																																																										
58.041864812	C3H6O	LM:LMFA12000057																																																																									
60.021129368000004	C2H4O2	LM:LMFA01010000																																																																									
60.057514876	C3H8O	LM:LMFA05000101																																																																									
70.041864812	C4H6O	LM:LMFA12000018																																																																									
72.021129368	C3H4O2	LM:LMFA01030193																																																																									
72.057514876	C4H8O	LM:LMFA12000043																																																																									
72.093900384	C5H12	LM:LMFA11000583																																																																									
74.036779432	C3H6O2	LM:LMFA01010003																																																																									
74.07316494	C4H10O	LM:LMFA05000100	LM:LMFA05000109																																																																								
84.057514876	C5H8O	LM:LMFA12000034	LM:LMFA12000028	LM:LMFA12000069																																																																							
84.093900384	C6H12	LM:LMFA11000035																																																																									
86.036779432	C4H6O2	LM:LMFA12000012	LM:LMFA07040004	LM:LMFA01030194	LM:LMFA01030004																																																																						
86.07316494	C5H10O	LM:LMFA05000107	LM:LMFA05000106	LM:LMFA12000024	LM:LMFA05000103	LM:LMFA05000105	LM:LMFA12000001	LM:LMFA05000110	LM:LMFA12000003	LM:LMFA06000251																																																																	
86.109550448	C6H14	LM:LMFA11000007																																																																									
87.068413908	C4H9NO	LM:LMFA08010018																																																																									
88.016043988	C3H4O3	LM:LMFA01060077																																																																									
88.052429496	C4H8O2	LM:LMFA12000020	LM:LMFA01020071	LM:LMFA01010004	LM:LMFA07010410																																																																						
88.088815004	C5H12O	LM:LMFA05000108	LM:LMFA05000102	LM:LMFA05000112																																																																							
93.982157016	C2H3ClO2	LM:LMFA01090068																																																																									
96.057514876	C6H8O	LM:LMFA06000007	LM:LMFA06000006																																																																								
98.036779432	C5H6O2	LM:LMFA01030099																																																																									
98.07316494	C6H10O	LM:LMFA06000005	LM:LMFA12000035	LM:LMFA12000030	LM:LMFA06000004	LM:LMFA12000019	LM:LMFA06000003	LM:LMFA06000002																																																																			
98.109550448	C7H14	LM:LMFA11000663	LM:LMFA11000660	LM:LMFA11000668	LM:LMFA11000319																																																																						
100.052429496	C5H8O2	LM:LMFA12000075	LM:LMFA01020110	LM:LMFA01020097	LM:LMFA01020029	LM:LMFA01020111	LM:LMFA07040008	LM:LMFA01030006	LM:LMFA01030005	LM:LMFA01030007	LM:LMFA07010505																																																																
100.088815004	C6H12O	LM:LMFA12000033	LM:LMFA05000538	LM:LMFA05000561	LM:LMFA12000027	LM:LMFA05000464	LM:LMFA05000059	LM:LMFA12000049	LM:LMFA05000060	LM:LMFA12000048	LM:LMFA05000116	LM:LMFA06000109																																																															
100.12520051199999	C7H16	LM:LMFA11000702	LM:LMFA11000575																																																																								
101.047678464	C4H7NO2	LM:LMFA08010016																																																																									
101.084063972	C5H11NO	LM:LMFA08010002																																																																									
102.031694052	C4H6O3	LM:LMFA06000118	LM:LMFA01050398	LM:LMFA01060003	LM:LMFA01060190	LM:LMFA01060002	LM:LMFA01030978																																																																				
102.042927432	C3H6N2O2	LM:LMPK14000007																																																																									
102.06807956	C5H10O2	LM:LMFA12000066	LM:LMFA12000015	LM:LMFA12000022	LM:LMFA01020073	LM:LMFA01020181	LM:LMFA01020072	LM:LMFA01010005	LM:LMFA07010528	LM:LMFA07010411																																																																	
102.104465068	C6H14O	LM:LMFA05000541	LM:LMFA05000537	LM:LMFA05000111	LM:LMFA05000463	LM:LMFA05000467	LM:LMFA05000117																																																																				
103.063328528	C4H9NO2	LM:LMFA01100053	LM:LMFA01100049	LM:LMFA01100034	LM:LMFA01100039																																																																						
104.01095860800001	C3H4O4	LM:LMFA01170041																																																																									
104.047344116	C4H8O3	LM:LMFA01050417	LM:LMFA01050382	LM:LMFA01050005	LM:LMFA01050004	LM:LMFA01050006																																																																					
104.058577496	C3H8N2O2	LM:LMFA01100051																																																																									
105.042593084	C3H7NO3	LM:LMFA01100045																																																																									
105.982157016	C3H3ClO2	LM:LMFA01090069	LM:LMFA01090071																																																																								
110.036779432	C6H6O2	LM:LMFA06000011																																																																									
110.07316494	C7H10O	LM:LMFA06000025	LM:LMFA06000024																																																																								
112.052429496	C6H8O2	LM:LMFA06000120	LM:LMFA06000010	LM:LMFA06000009	LM:LMFA06000017	LM:LMFA01140022	LM:LMFA01030499	LM:LMFA01030100	LM:LMFA01030498	LM:LMFA01030451	LM:LMFA01030500																																																																
112.088815004	C7H12O	LM:LMFA06000023	LM:LMFA12000010	LM:LMFA12000087	LM:LMFA12000110	LM:LMFA06000022	LM:LMFA12000080	LM:LMFA12000084	LM:LMFA05000119	LM:LMFA12000097	LM:LMFA06000021	LM:LMFA12000103	LM:LMFA06000020	LM:LMFA12000098	LM:LMFA06000019																																																												
112.12520051199999	C8H16	LM:LMFA11000638	LM:LMFA11000636	LM:LMFA11000659	LM:LMFA11000592																																																																						
114.031694052	C5H6O3	LM:LMFA01060166																																																																									
114.06807956	C6H10O2	LM:LMFA12000081	LM:LMFA12000016	LM:LMFA06000016	LM:LMFA12000247	LM:LMFA06000008	LM:LMFA01020098	LM:LMFA01020099	LM:LMFA01020116	LM:LMFA01020031	LM:LMFA01020112	LM:LMFA01020113	LM:LMFA01020115	LM:LMFA01020114	LM:LMFA07040010	LM:LMFA01030985	LM:LMFA01030972	LM:LMFA01030010	LM:LMFA01030971	LM:LMFA01030009	LM:LMFA01030008	LM:LMFA01030011	LM:LMFA07010875	LM:LMFA07010954																																																			
114.104465068	C7H14O	LM:LMFA12000037	LM:LMFA12000088	LM:LMFA12000032	LM:LMFA12000085	LM:LMFA05000468	LM:LMFA05000571	LM:LMFA12000118	LM:LMFA12000083	LM:LMFA12000047	LM:LMFA12000004	LM:LMFA06000001																																																															
114.14085057599999	C8H18	LM:LMFA11000711	LM:LMFA11000627	LM:LMFA11000608	LM:LMFA11000606	LM:LMFA11000604	LM:LMFA11000002																																																																				
116.047344116	C5H8O3	LM:LMFA01020274	LM:LMFA01060006	LM:LMFA01060192	LM:LMFA01060005	LM:LMFA01060004	LM:LMFA01060161	LM:LMFA07010948																																																																			
116.058577496	C4H8N2O2	LM:LMFA08010026																																																																									
116.083729624	C6H12O2	LM:LMFA12000071	LM:LMFA06000014	LM:LMFA12000029	LM:LMFA06000013	LM:LMFA12000076	LM:LMFA12000077	LM:LMFA06000125	LM:LMFA06000012	LM:LMFA06000015	LM:LMFA01020079	LM:LMFA01020076	LM:LMFA01020078	LM:LMFA01020075	LM:LMFA01020077	LM:LMFA01020074	LM:LMFA01010006	LM:LMFA07010575	LM:LMFA07010934	LM:LMFA07010874	LM:LMFA07010966	LM:LMFA07010412	LM:LMFA07010503	LM:LMFA07010950																																																			
116.120115132	C7H16O	LM:LMFA05000461	LM:LMFA05000466	LM:LMFA05000465	LM:LMFA05000484	LM:LMFA05000483	LM:LMFA05000477	LM:LMFA05000122																																																																			
117.042593084	C4H7NO3	LM:LMFA01060172																																																																									
117.078978592	C5H11NO2	LM:LMFA01100046	LM:LMFA01100021	LM:LMFA01100041	LM:LMFA01100040																																																																						
118.02660867200001	C4H6O4	LM:LMFA01170118	LM:LMFA01170043	LM:LMFA01050528																																																																							
118.041864812	C8H6O	LM:LMFA05000606																																																																									
118.06299418	C5H10O3	LM:LMFA01050396	LM:LMFA01050390	LM:LMFA01050399	LM:LMFA01050391	LM:LMFA01050009	LM:LMFA01050389	LM:LMFA01050388	LM:LMFA01050008	LM:LMFA01050007	LM:LMFA01050010	LM:LMFA07010513																																																															
118.07422756	C4H10N2O2	LM:LMFA01100052																																																																									
118.099379688	C6H14O2	LM:LMFA05000583																																																																									
120.024500496	C4H8O2S	LM:LMFA01130006																																																																									
120.04225873600001	C4H8O4	LM:LMFA01050400	LM:LMFA01050397	LM:LMFA01050378	LM:LMFA01050385																																																																						
120.057514876	C8H8O	LM:LMFA05000672																																																																									
122.07316494	C8H10O	LM:LMFA06000036																																																																									
124.052429496	C7H8O2	LM:LMFA01030781																																																																									
124.088815004	C8H12O	LM:LMFA06000035	LM:LMFA06000128	LM:LMFA12000038	LM:LMFA06000121	LM:LMFA06000131	LM:LMFA12000017	LM:LMFA06000034																																																																			
126.06807956	C7H10O2	LM:LMFA12000238	LM:LMFA06000027	LM:LMFA01030792	LM:LMFA01030489	LM:LMFA01030488	LM:LMFA01030490	LM:LMFA07010967																																																																			
126.104465068	C8H14O	LM:LMFA12000039	LM:LMFA05000114	LM:LMFA12000036	LM:LMFA12000113	LM:LMFA06000033	LM:LMFA12000237	LM:LMFA12000108	LM:LMFA12000095	LM:LMFA05000488	LM:LMFA06000032	LM:LMFA12000096	LM:LMFA06000031	LM:LMFA12000009	LM:LMFA06000030	LM:LMFA12000011	LM:LMFA06000029																																																										
126.14085057599999	C9H18	LM:LMFA11000629	LM:LMFA11000662	LM:LMFA11000642	LM:LMFA11000635	LM:LMFA11000633	LM:LMFA11000639	LM:LMFA11000632	LM:LMFA11000594	LM:LMFA11000649	LM:LMFA11000647	LM:LMFA11000666	LM:LMFA11000661	LM:LMFA11000667	LM:LMFA11000323																																																												
127.943184664	C2H2Cl2O2	LM:LMFA01090070																																																																									
128.026214748	C9H4O	LM:LMFA06000050																																																																									
128.047344116	C6H8O3	LM:LMFA01050273	LM:LMFA07040005	LM:LMFA01060174	LM:LMFA01030943																																																																						
128.058577496	C5H8N2O2	LM:LMFA01100038	LM:LMFA01100037																																																																								
128.083729624	C7H12O2	LM:LMFA12000245	LM:LMFA12000013	LM:LMFA06000026	LM:LMFA01020117	LM:LMFA01020119	LM:LMFA01020121	LM:LMFA01020123	LM:LMFA01020122	LM:LMFA01020100	LM:LMFA01020118	LM:LMFA07040011	LM:LMFA07040012	LM:LMFA01030964	LM:LMFA01030015	LM:LMFA01030014	LM:LMFA01030793	LM:LMFA01030013	LM:LMFA01030012	LM:LMFA01030016	LM:LMFA07010936	LM:LMFA07010776	LM:LMFA07010940	LM:LMFA07010884	LM:LMFA07010870																																																		
128.120115132	C8H16O	LM:LMFA06000124	LM:LMFA12000041	LM:LMFA05000469	LM:LMFA05000704	LM:LMFA05000475	LM:LMFA12000042	LM:LMFA12000112	LM:LMFA12000050	LM:LMFA05000474	LM:LMFA05000572	LM:LMFA12000026	LM:LMFA12000100	LM:LMFA12000031	LM:LMFA12000025	LM:LMFA05000702	LM:LMFA05000128	LM:LMFA12000055	LM:LMFA05000090	LM:LMFA05000124	LM:LMFA12000054	LM:LMFA06000028	LM:LMFA01050367																																																				
128.15650064	C9H20	LM:LMFA11000671	LM:LMFA11000626	LM:LMFA11000333	LM:LMFA11000603	LM:LMFA11000699	LM:LMFA11000612	LM:LMFA11000607	LM:LMFA11000611	LM:LMFA11000433	LM:LMFA11000701	LM:LMFA11000623	LM:LMFA11000579																																																														
129.1153641	C7H15NO	LM:LMFA08020142																																																																									
130.026608672	C5H6O4	LM:LMFA01170099	LM:LMFA01170063	LM:LMFA01170109	LM:LMFA07010962																																																																						
