Kept Isomer	Isomer[1]	Isomer[2]	Isomer[3]	Isomer[4]	Isomer[5]	Isomer[6]	Isomer[7]	Isomer[8]	Isomer[9]	Isomer[10]	Isomer[11]	Isomer[12]	Isomer[13]	Isomer[14]	Isomer[15]	Isomer[16]
LM:LMPK09000017																
LM:LMPK09000012	LM:LMPK09000013															
LM:LMPK09000003																
LM:LMFA06000007																
LM:LMFA06000180																
LM:LMFA06000182																
LM:LMFA06000025																
LM:LMFA06000035																
LM:LMFA06000049																
LM:LMFA06000153	LM:LMFA06000163															
LM:LMFA06000171	LM:LMFA06000176															
LM:LMFA06000135	LM:LMFA06000139															
LM:LMFA06000128																
LM:LMFA06000005																
LM:LMFA06000023																
LM:LMFA06000143																
LM:LMFA06000067																
LM:LMFA06000188																
LM:LMFA11000670																
LM:LMFA06000063																
LM:LMFA05000569																
LM:LMFA05000606																
LM:LMPR04000001																
LM:LMFA05000107																
LM:LMFA12000066																
LM:LMFA12000012																
LM:LMFA12000018																
LM:LMFA06000156																
LM:LMFA05000562																
LM:LMFA12000071																
LM:LMFA12000335																
LM:LMFA12000075																
LM:LMFA12000034																
LM:LMFA12000081																
LM:LMFA12000035																
LM:LMFA12000145																
LM:LMFA12000157																
LM:LMFA12000167																
LM:LMFA12000182																
LM:LMFA12000193																
LM:LMFA05000645																
LM:LMFA05000642																
LM:LMFA05000641																
LM:LMFA05000595																
LM:LMFA05000594																
LM:LMFA05000644																
LM:LMFA05000640																
LM:LMFA05000014																
LM:LMPR04000009																
LM:LMPR04000026																
LM:LMFA05000554																
LM:LMFA05000635																
LM:LMFA05000610																
LM:LMPR04000002																
LM:LMFA05000017																
LM:LMFA12000030																
LM:LMFA12000038																
LM:LMFA05000127																
LM:LMFA11000037																
LM:LMFA11000040																
LM:LMFA11000335																
LM:LMFA06000197																
LM:LMFA05000218																
LM:LMFA11000696																
LM:LMFA12000039																
LM:LMFA05000106																
LM:LMFA12000057																
LM:LMFA12000024																
LM:LMFA11000671																
LM:LMFA11000711																
LM:LMFA11000628																
LM:LMFA05000032																
LM:LMFA11000655																
LM:LMFA11000653																
LM:LMFA11000629																
LM:LMPK14000005																
LM:LMFA12000010																
LM:LMFA12000087																
LM:LMFA12000040																
LM:LMFA12000033																
LM:LMFA06000124																
LM:LMFA11000673																
LM:LMFA05000650																
LM:LMFA12000037																
LM:LMFA05000192																
LM:LMFA12000041																
LM:LMFA11000620																
LM:LMFA11000336																
LM:LMFA05000170																
LM:LMGP00000062																
LM:LMFA05000565																
LM:LMFA11000682																
LM:LMFA12000281																
LM:LMFA12000144																
LM:LMFA06000261																
LM:LMFA00000006																
LM:LMFA06000257																
LM:LMFA06000258																
LM:LMFA00000005																
LM:LMFA05000010																
LM:LMFA05000541																
LM:LMFA05000108																
LM:LMFA05000100																
LM:LMPK01000055																
LM:LMFA05000696																
LM:LMPR04000007																
LM:LMPR04000006																
LM:LMPR04000008																
LM:LMPR04000027																
LM:LMFA05000125																
LM:LMPR04000024																
LM:LMPR04000030																
LM:LMPR04000013																
LM:LMPR04000005																
LM:LMPR04000015																
LM:LMPR04000016																
LM:LMPR04000010																
LM:LMPR04000004																
LM:LMPR04000014																
LM:LMPR04000011																
LM:LMPR04000019																
LM:LMPR04000018																
LM:LMPR04000020																
LM:LMPR04000021																
LM:LMPR04000012																
LM:LMPR04000028																
LM:LMPR04000023																
LM:LMPR04000025																
LM:LMPR04000022																
LM:LMFA06000127																
LM:LMFA06000130																
LM:LMFA06000160	LM:LMFA06000168															
LM:LMFA06000145																
LM:LMFA12000228																
LM:LMFA12000234																
LM:LMPR04000029																
LM:LMFA05000625																
LM:LMFA05000145	LM:LMFA05000152															
LM:LMFA05000210																
LM:LMFA05000666																
LM:LMFA05000637																
LM:LMFA05000084																
LM:LMFA05000563																
LM:LMFA05000123																
LM:LMFA05000099																
LM:LMFA05000103																
LM:LMFA05000668																
LM:LMFA05000120																
LM:LMFA05000609																
LM:LMPR04000003																
LM:LMFA05000168																
LM:LMFA05000167																
LM:LMFA12000020	LM:LMFA12000064															
LM:LMPK14000002																
LM:LMPK14000006																
LM:LMFA05000598																
LM:LMPK04000036																
LM:LMFA04000054	LM:LMFA04000055	LM:LMFA04000056	LM:LMFA04000057													
LM:LMFA04000060																
LM:LMFA05000469	LM:LMFA05000470	LM:LMFA05000566														
LM:LMFA05000498	LM:LMFA05000499	LM:LMFA05000501	LM:LMFA05000502													
LM:LMFA06000014																
LM:LMFA05000704																
LM:LMFA05000583																
LM:LMFA11000662																
LM:LMPK08000001																
LM:LMFA05000538																
LM:LMFA05000652																
LM:LMPK05000006																
LM:LMPK11000003																
LM:LMPK11000001																
LM:LMPK11000002																
LM:LMPK07000001																
LM:LMPK05000008																
LM:LMPK05000007																
LM:LMPK04000030																
LM:LMFA11000642	LM:LMFA11000643															
LM:LMPK09000015																
LM:LMPK04000031																
LM:LMFA11000635	LM:LMFA11000641															
LM:LMFA11000638																
LM:LMPK09000027																
LM:LMPK09000011																
LM:LMPK04000016																
LM:LMFA11000633																
LM:LMFA11000631																
LM:LMPK04000001																
LM:LMFA11000639	LM:LMFA11000640															
LM:LMGP19000001																
LM:LMGP18000001																
LM:LMFA11000663																
LM:LMPK04000041																
LM:LMPK09000029																
LM:LMPK09000019																
LM:LMPK09000018	LM:LMPK09000025															
LM:LMPK09000021																
LM:LMPK09000016																
LM:LMPK09000009	LM:LMPK09000010															
LM:LMGL00000124																
LM:LMPK04000040																
LM:LMFA11000660																
LM:LMFA11000632																
LM:LMFA11000636	LM:LMFA11000637															
LM:LMPK04000032																
LM:LMPK06000005																
LM:LMPK06000001																
LM:LMPK06000004																
LM:LMPK06000002																
LM:LMFA11000665																
LM:LMFA06000121																
LM:LMFA05000114																
LM:LMFA11000042																
LM:LMFA11000046																
LM:LMFA11000044	LM:LMFA11000121															
LM:LMFA11000049	LM:LMFA11000125															
LM:LMFA11000045	LM:LMFA11000122															
LM:LMFA12000036																
LM:LMFA11000161																
LM:LMFA11000034	LM:LMFA11000066															
LM:LMFA05000536																
LM:LMFA05000649																
LM:LMFA05000697																
LM:LMFA06000062																
LM:LMFA12000113																
LM:LMFA11000048																
LM:LMFA11000054																
LM:LMFA12000028																
LM:LMFA05000121																
LM:LMFA05000169																
LM:LMFA05000475	LM:LMFA05000481															
LM:LMFA06000073																
LM:LMFA06000061																
LM:LMFA06000036																
LM:LMFA06000196	LM:LMFA06000198															
LM:LMFA06000006																
LM:LMFA06000048																
LM:LMFA06000155	LM:LMFA06000159	LM:LMFA06000166														
LM:LMFA06000187																
LM:LMFA05000178	LM:LMFA05000189															
LM:LMFA05000046	LM:LMFA05000151	LM:LMFA05000161	LM:LMFA05000165													
LM:LMFA06000184																
LM:LMFA05000188	LM:LMFA05000191															
LM:LMFA05000018																
LM:LMFA12000110																
LM:LMFA06000131	LM:LMFA06000133															
LM:LMFA06000004																
LM:LMFA06000022																
LM:LMFA06000033																
LM:LMFA05000025	LM:LMFA05000153															
LM:LMFA05000561																
LM:LMFA11000506																
LM:LMFA11000090																
LM:LMFA11000028																
LM:LMFA05000105																
LM:LMFA11000594																
LM:LMFA12000016																
LM:LMFA12000237																
LM:LMFA12000080																
LM:LMFA12000094																
LM:LMFA12000241																
LM:LMFA12000108																
LM:LMFA12000015																
LM:LMFA12000069																
LM:LMFA12000238	LM:LMFA12000239															
LM:LMFA06000120	LM:LMFA06000122															
LM:LMFA12000001																
LM:LMFA12000088																
LM:LMFA12000245																
LM:LMFA12000042																
LM:LMFA12000130																
LM:LMFA12000161																
LM:LMFA12000175																
LM:LMFA12000181																
LM:LMFA12000185																
LM:LMFA12000191																
LM:LMPK02000053	LM:LMPK02000054															
LM:LMFA11000626																
LM:LMFA11000602																
LM:LMFA11000684																
LM:LMFA05000537																
LM:LMFA05000132																
LM:LMFA11000036	LM:LMFA11000080															
LM:LMFA11000043	LM:LMFA11000062	LM:LMFA11000120														
LM:LMFA11000021	LM:LMFA11000023															
LM:LMFA06000169																
LM:LMFA11000123	LM:LMFA11000130															
LM:LMFA11000124																
LM:LMFA11000502																
LM:LMFA11000381																
LM:LMFA12000043																
LM:LMFA12000084																
LM:LMFA12000032	LM:LMFA12000079															
LM:LMFA05000695																
LM:LMFA12000027																
LM:LMFA11000688																
LM:LMFA11000680																
LM:LMFA05000461	LM:LMFA05000462															
LM:LMFA11000630																
LM:LMPK04000024																
LM:LMPK04000022																
LM:LMPK04000025																
LM:LMPK04000023																
LM:LMFA11000596																
LM:LMFA12000112																
LM:LMFA11000333																
LM:LMFA12000085																
LM:LMFA12000127																
LM:LMPK00000001																
LM:LMFA11000678																
LM:LMFA05000553																
LM:LMFA12000129																
LM:LMFA12000050																
LM:LMFA11000603																
LM:LMFA11000622																
LM:LMFA11000686																
LM:LMFA05000494																
LM:LMFA11000593																
LM:LMFA11000616																
LM:LMFA06000141	LM:LMFA06000142	LM:LMFA06000151														
LM:LMFA11000601																
LM:LMFA06000194	LM:LMFA06000206	LM:LMFA06000207	LM:LMFA06000208	LM:LMFA06000209	LM:LMFA06000214											
LM:LMFA05000034	LM:LMFA05000203															
LM:LMFA05000009																
LM:LMFA05000035																
LM:LMFA05000111																
LM:LMFA05000102	LM:LMFA05000104															
LM:LMPK09000002																
LM:LMPK01000056																
LM:LMFA11000059																
LM:LMFA11000672																
LM:LMFA11000699																
LM:LMFA11000627																
LM:LMFA11000702																
LM:LMFA11000609																
LM:LMFA11000625																
LM:LMFA11000501																
LM:LMFA12000029																
LM:LMFA12000022																
LM:LMFA12000093																
LM:LMFA04000043																
LM:LMFA04000033																
LM:LMFA06000016																
LM:LMFA05000466																
LM:LMFA05000482																
LM:LMFA05000031																
LM:LMFA06000013																
LM:LMFA05000691																
LM:LMFA11000645																
LM:LMFA11000644																
LM:LMFA11000656																
LM:LMFA11000649	LM:LMFA11000650															
LM:LMPK09000024																
LM:LMPK09000022	LM:LMPK09000026															
LM:LMPK09000032																
LM:LMPK09000004	LM:LMPK09000014															
LM:LMFA11000646																
LM:LMFA11000668																
LM:LMPK09000023																
LM:LMPK09000031																
LM:LMPK09000020																
LM:LMFA11000659																
LM:LMFA11000647	LM:LMFA11000648	LM:LMFA11000651														
LM:LMPK14000003																
LM:LMPK04000038																
LM:LMPK04000002																
LM:LMPK04000034																
LM:LMPK04000026																
LM:LMPK04000009																
LM:LMPK04000010																
LM:LMPK04000027																
LM:LMPK04000029																
LM:LMPK04000028																
LM:LMPK04000014																
LM:LMPK04000006																
LM:LMPK04000012																
LM:LMPK04000013																
LM:LMPK04000015																
LM:LMPK04000037																
LM:LMPK04000035																
LM:LMPK04000011																
LM:LMPK04000004																
LM:LMFA04000038																
LM:LMFA12000095																
LM:LMFA05000474																
LM:LMFA11000056																
LM:LMFA11000050																
LM:LMFA05000118																
LM:LMFA11000425																
LM:LMFA11000047																
LM:LMFA05000464																
LM:LMFA06000213																
LM:LMFA05000202																
LM:LMFA11000055																
LM:LMFA12000019																
LM:LMFA11000051																
